Total Rows: 19009

===== Group: ('NA', 'a6cb7db6850459b954f7272e14d770617022639f8847cf25e6859b9453a03813') (Count: 29) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
Love                           |       23 |      11.35 |        0.0 |      101.0 |      21.52 |        - | -                                       
Wow                            |       23 |       0.39 |        0.0 |        4.0 |       0.94 |        - | -                                       
Haha                           |       23 |       2.13 |        0.0 |       28.0 |       5.98 |        - | -                                       
Sad                            |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Angry                          |       23 |       0.17 |        0.0 |        3.0 |       0.65 |        - | -                                       
Care                           |       23 |       0.96 |        0.0 |        7.0 |       1.69 |        - | -                                       
Video Share Status             |        3 |          - |          - |          - |          - |        1 | owned (Count: 3)                        
Is Video Owner?                |       23 |          - |          - |          - |          - |        2 | - (Count: 20)                           
Post Views                     |       23 |   13142.22 |        0.0 |   301008.0 |   62752.82 |        - | -                                       
Total Views                    |       23 |   13155.74 |        0.0 |   301292.0 |   62811.79 |        - | -                                       
Total Views For All Crossposts |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |        3 |          - |          - |          - |          - |        3 | 00:00:30 (Count: 1)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |       23 |      -3.76 |     -36.67 |      11.25 |       9.17 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |       23 |       0.13 |        0.0 |        1.0 |       0.34 |        - | -                                       
issue_msg_type_illuminating    |       23 |       0.09 |        0.0 |        1.0 |       0.29 |        - | -                                       
attack_msg_type_illuminating   |       23 |       0.04 |        0.0 |        1.0 |       0.21 |        - | -                                       
image_msg_type_illuminating    |       23 |       0.04 |        0.0 |        1.0 |       0.21 |        - | -                                       
cta_msg_type_illuminating      |       23 |       0.35 |        0.0 |        1.0 |       0.49 |        - | -                                       
engagement_cta_subtype_illuminating |       23 |       0.26 |        0.0 |        1.0 |       0.45 |        - | -                                       
fundraising_cta_subtype_illuminating |       23 |       0.04 |        0.0 |        1.0 |       0.21 |        - | -                                       
voting_cta_subtype_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
covid_topic_illuminating       |       23 |       0.09 |        0.0 |        1.0 |       0.29 |        - | -                                       
economy_topic_illuminating     |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
education_topic_illuminating   |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
environment_topic_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
foreign_policy_topic_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
governance_topic_illuminating  |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
health_topic_illuminating      |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
immigration_topic_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
lgbtq_issues_topic_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
military_topic_illuminating    |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
race_and_ethnicity_topic_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
safety_topic_illuminating      |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
social_and_cultural_topic_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
technology_and_privacy_topic_illuminatin... |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
womens_issue_topic_illuminating |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
incivility_illuminating        |       23 |       0.04 |        0.0 |        1.0 |       0.21 |        - | -                                       
scam_illuminating              |       23 |       0.04 |        0.0 |        1.0 |       0.21 |        - | -                                       
freefair_illuminating          |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
fraud_illuminating             |       23 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       

===== Group: ('NA', 'b1daf9f2909abed80b7e02520dfd0bfdc22128e3b92c2aba8cb3b44a6bc42cbe') (Count: 336) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |      336 |          - |          - |          - |          - |        1 | b1daf9f2909abed80b7e02520dfd0bfdc22128e3...
post_id                        |      336 |          - |          - |          - |          - |      336 | 9a00cad9cecb304ad4a165eda31c1c1d761c14a4...
Page Category                  |      335 |          - |          - |          - |          - |        1 | PERSON (Count: 335)                     
Page Admin Top Country         |      335 |          - |          - |          - |          - |        1 | US (Count: 335)                         
Post Created                   |      336 |          - |          - |          - |          - |      336 | 2023-09-26 20:16:16 EDT (Count: 1)      
Post Created Date              |      336 |          - |          - |          - |          - |      117 | 2023-12-01 (Count: 10)                  
Post Created Time              |      336 |          - |          - |          - |          - |      332 | 19:12:35 (Count: 2)                     
Type                           |      335 |          - |          - |          - |          - |        5 | Native Video (Count: 221)               
Total Interactions             |      336 |     783.67 |      409.0 |     4108.0 |     320.86 |      186 | 1,221 (Count: 3)                        
Likes                          |      336 |     578.84 |      125.0 |    13851.0 |    1165.09 |        - | -                                       
Comments                       |      336 |     616.64 |      106.0 |     6953.0 |     673.38 |        - | -                                       
Shares                         |      336 |      93.62 |       15.0 |     2107.0 |     170.32 |        - | -                                       
Love                           |      336 |     118.22 |        0.0 |     2948.0 |     246.43 |        - | -                                       
Wow                            |      336 |       4.32 |        0.0 |       74.0 |       8.57 |        - | -                                       
Haha                           |      336 |     106.82 |        0.0 |     1575.0 |     125.99 |        - | -                                       
Sad                            |      336 |       3.73 |        0.0 |      196.0 |      12.47 |        - | -                                       
Angry                          |      336 |      17.63 |        0.0 |      580.0 |      53.06 |        - | -                                       
Care                           |      336 |      12.93 |        0.0 |     1262.0 |      71.06 |        - | -                                       
Video Share Status             |      254 |          - |          - |          - |          - |        1 | owned (Count: 254)                      
Is Video Owner?                |      335 |          - |          - |          - |          - |        2 | Yes (Count: 254)                        
Post Views                     |      335 |    6342.93 |        0.0 |   404672.0 |   27370.96 |        - | -                                       
Total Views                    |      335 |    6933.61 |        0.0 |   408497.0 |   28048.71 |        - | -                                       
Total Views For All Crossposts |      335 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |      254 |          - |          - |          - |          - |      156 | 00:01:15 (Count: 7)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |      335 |       0.23 |      -3.19 |      27.11 |        2.9 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |      336 |       0.71 |        0.0 |        1.0 |       0.46 |        - | -                                       
issue_msg_type_illuminating    |      336 |       0.57 |        0.0 |        1.0 |        0.5 |        - | -                                       
attack_msg_type_illuminating   |      336 |       0.32 |        0.0 |        1.0 |       0.47 |        - | -                                       
image_msg_type_illuminating    |      336 |       0.23 |        0.0 |        1.0 |       0.42 |        - | -                                       
cta_msg_type_illuminating      |      336 |       0.12 |        0.0 |        1.0 |       0.32 |        - | -                                       
engagement_cta_subtype_illuminating |      336 |       0.09 |        0.0 |        1.0 |       0.28 |        - | -                                       
fundraising_cta_subtype_illuminating |      336 |       0.04 |        0.0 |        1.0 |       0.19 |        - | -                                       
voting_cta_subtype_illuminating |      336 |       0.02 |        0.0 |        1.0 |       0.13 |        - | -                                       
covid_topic_illuminating       |      336 |       0.05 |        0.0 |        1.0 |       0.21 |        - | -                                       
economy_topic_illuminating     |      336 |        0.1 |        0.0 |        1.0 |       0.29 |        - | -                                       
education_topic_illuminating   |      336 |       0.02 |        0.0 |        1.0 |       0.15 |        - | -                                       
environment_topic_illuminating |      336 |       0.03 |        0.0 |        1.0 |       0.18 |        - | -                                       
foreign_policy_topic_illuminating |      336 |       0.07 |        0.0 |        1.0 |       0.26 |        - | -                                       
governance_topic_illuminating  |      336 |       0.03 |        0.0 |        1.0 |       0.16 |        - | -                                       
health_topic_illuminating      |      336 |       0.03 |        0.0 |        1.0 |       0.17 |        - | -                                       
immigration_topic_illuminating |      336 |       0.11 |        0.0 |        1.0 |       0.31 |        - | -                                       
lgbtq_issues_topic_illuminating |      336 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
military_topic_illuminating    |      336 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
race_and_ethnicity_topic_illuminating |      336 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       
safety_topic_illuminating      |      336 |       0.04 |        0.0 |        1.0 |        0.2 |        - | -                                       
social_and_cultural_topic_illuminating |      336 |       0.02 |        0.0 |        1.0 |       0.14 |        - | -                                       
technology_and_privacy_topic_illuminatin... |      336 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       
womens_issue_topic_illuminating |      336 |       0.01 |        0.0 |        1.0 |       0.09 |        - | -                                       
incivility_illuminating        |      336 |       0.19 |        0.0 |        1.0 |        0.4 |        - | -                                       
scam_illuminating              |      336 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       
freefair_illuminating          |      336 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
fraud_illuminating             |      336 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       

===== Group: ('NA', '32fc18da91029ff09bf74fe9887eace6b5d2145809d583f696e344530508b064') (Count: 9013) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |     9013 |          - |          - |          - |          - |        1 | 32fc18da91029ff09bf74fe9887eace6b5d21458...
post_id                        |     9013 |          - |          - |          - |          - |     9013 | 30e974e1a9ff3463b7a869383fd98deaf56f74e3...
Page Category                  |     8303 |          - |          - |          - |          - |        2 | PERSON (Count: 4999)                    
Page Admin Top Country         |     8303 |          - |          - |          - |          - |        1 | US (Count: 8303)                        
Post Created                   |     9013 |          - |          - |          - |          - |     9012 | 2023-11-22 19:20:24 EST (Count: 2)      
Post Created Date              |     9013 |          - |          - |          - |          - |      377 | 2024-07-11 (Count: 65)                  
Post Created Time              |     9013 |          - |          - |          - |          - |     8343 | 11:30:18 (Count: 4)                     
Type                           |     8303 |          - |          - |          - |          - |        7 | Link (Count: 6705)                      
Total Interactions             |     9013 |     157.79 |        0.0 |    11175.0 |     339.07 |      369 | 1,266 (Count: 3)                        
Likes                          |     9013 |      172.4 |        0.0 |    83391.0 |    1440.59 |        - | -                                       
Comments                       |     9013 |      39.68 |        0.0 |    18094.0 |     265.42 |        - | -                                       
Shares                         |     9013 |      34.54 |        0.0 |    28313.0 |     516.27 |        - | -                                       
Love                           |     9013 |      13.49 |        0.0 |    22342.0 |      303.0 |        - | -                                       
Wow                            |     9013 |       2.94 |        0.0 |      608.0 |      12.67 |        - | -                                       
Haha                           |     9013 |      36.42 |        0.0 |    32351.0 |     435.97 |        - | -                                       
Sad                            |     9013 |       3.01 |        0.0 |     2905.0 |      38.11 |        - | -                                       
Angry                          |     9013 |      10.63 |        0.0 |     2244.0 |      42.38 |        - | -                                       
Care                           |     9013 |       1.62 |        0.0 |     1042.0 |      22.92 |        - | -                                       
Video Share Status             |      134 |          - |          - |          - |          - |        2 | owned (Count: 109)                      
Is Video Owner?                |     8303 |          - |          - |          - |          - |        3 | - (Count: 8170)                         
Post Views                     |     8303 |     503.37 |        0.0 |  2129389.0 |   26575.49 |        - | -                                       
Total Views                    |     8303 |     823.97 |        0.0 |  2362073.0 |   32897.35 |        - | -                                       
Total Views For All Crossposts |     8303 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |      134 |          - |          - |          - |          - |      102 | 00:00:16 (Count: 4)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |     8303 |      -4.62 |    -198.75 |     246.78 |       9.47 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |     9013 |        0.5 |        0.0 |        1.0 |        0.5 |        - | -                                       
issue_msg_type_illuminating    |     9013 |       0.48 |        0.0 |        1.0 |        0.5 |        - | -                                       
attack_msg_type_illuminating   |     9013 |       0.25 |        0.0 |        1.0 |       0.44 |        - | -                                       
image_msg_type_illuminating    |     9013 |       0.16 |        0.0 |        1.0 |       0.36 |        - | -                                       
cta_msg_type_illuminating      |     9013 |       0.05 |        0.0 |        1.0 |       0.22 |        - | -                                       
engagement_cta_subtype_illuminating |     9013 |       0.05 |        0.0 |        1.0 |       0.22 |        - | -                                       
fundraising_cta_subtype_illuminating |     9013 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
voting_cta_subtype_illuminating |     9013 |        0.0 |        0.0 |        1.0 |       0.02 |        - | -                                       
covid_topic_illuminating       |     9013 |       0.02 |        0.0 |        1.0 |       0.15 |        - | -                                       
economy_topic_illuminating     |     9013 |       0.06 |        0.0 |        1.0 |       0.23 |        - | -                                       
education_topic_illuminating   |     9013 |       0.01 |        0.0 |        1.0 |        0.1 |        - | -                                       
environment_topic_illuminating |     9013 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
foreign_policy_topic_illuminating |     9013 |       0.04 |        0.0 |        1.0 |       0.19 |        - | -                                       
governance_topic_illuminating  |     9013 |       0.03 |        0.0 |        1.0 |       0.18 |        - | -                                       
health_topic_illuminating      |     9013 |       0.02 |        0.0 |        1.0 |       0.14 |        - | -                                       
immigration_topic_illuminating |     9013 |       0.05 |        0.0 |        1.0 |       0.21 |        - | -                                       
lgbtq_issues_topic_illuminating |     9013 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       
military_topic_illuminating    |     9013 |        0.0 |        0.0 |        1.0 |       0.03 |        - | -                                       
race_and_ethnicity_topic_illuminating |     9013 |       0.02 |        0.0 |        1.0 |       0.15 |        - | -                                       
safety_topic_illuminating      |     9013 |       0.03 |        0.0 |        1.0 |       0.17 |        - | -                                       
social_and_cultural_topic_illuminating |     9013 |       0.05 |        0.0 |        1.0 |       0.22 |        - | -                                       
technology_and_privacy_topic_illuminatin... |     9013 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       
womens_issue_topic_illuminating |     9013 |       0.01 |        0.0 |        1.0 |       0.09 |        - | -                                       
incivility_illuminating        |     9013 |       0.13 |        0.0 |        1.0 |       0.33 |        - | -                                       
scam_illuminating              |     8064 |       0.02 |        0.0 |        1.0 |       0.13 |        - | -                                       
freefair_illuminating          |     9013 |        0.0 |        0.0 |        1.0 |       0.06 |        - | -                                       
fraud_illuminating             |     9013 |       0.02 |        0.0 |        1.0 |       0.12 |        - | -                                       

===== Group: ('NA', 'a3fa0d15dd83b910295d0b17f9d341e737eddcb8d9b8081758140584c710406e') (Count: 1074) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |     1074 |          - |          - |          - |          - |        1 | a3fa0d15dd83b910295d0b17f9d341e737eddcb8...
post_id                        |     1074 |          - |          - |          - |          - |     1074 | d9f4c645be1c5e18fd483fe900ede24a95bcc075...
Page Category                  |      857 |          - |          - |          - |          - |        1 | PERSON (Count: 857)                     
Page Admin Top Country         |      857 |          - |          - |          - |          - |        1 | US (Count: 857)                         
Post Created                   |     1074 |          - |          - |          - |          - |     1072 | 2024-10-31T22:20:49.000Z (Count: 2)     
Post Created Date              |     1074 |          - |          - |          - |          - |      311 | 2024-01-10 (Count: 22)                  
Post Created Time              |     1074 |          - |          - |          - |          - |     1049 | 15:02:00 (Count: 3)                     
Type                           |      857 |          - |          - |          - |          - |        6 | Native Video (Count: 378)               
Total Interactions             |     1074 |    2574.02 |      144.0 |   196265.0 |    9456.43 |      429 | 2,158 (Count: 2)                        
Likes                          |     1074 |    2536.64 |       77.0 |   158096.0 |     7239.4 |        - | -                                       
Comments                       |     1074 |     374.97 |       13.0 |    13061.0 |     592.99 |        - | -                                       
Shares                         |     1074 |     190.13 |        1.0 |    25108.0 |     829.73 |        - | -                                       
Love                           |     1074 |     195.28 |        0.0 |     9766.0 |     583.85 |        - | -                                       
Wow                            |     1074 |       5.67 |        0.0 |      270.0 |      19.47 |        - | -                                       
Haha                           |     1074 |      35.95 |        0.0 |     1676.0 |     112.95 |        - | -                                       
Sad                            |     1074 |       3.69 |        0.0 |      402.0 |      21.33 |        - | -                                       
Angry                          |     1074 |       9.09 |        0.0 |     1683.0 |      60.53 |        - | -                                       
Care                           |     1074 |      13.78 |        0.0 |     2195.0 |      84.22 |        - | -                                       
Video Share Status             |      494 |          - |          - |          - |          - |        2 | owned (Count: 486)                      
Is Video Owner?                |      857 |          - |          - |          - |          - |        3 | Yes (Count: 485)                        
Post Views                     |      857 |   11817.23 |        0.0 |   777528.0 |   51285.56 |        - | -                                       
Total Views                    |      857 |   12449.48 |        0.0 |   780945.0 |    52230.6 |        - | -                                       
Total Views For All Crossposts |      857 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |      494 |          - |          - |          - |          - |      317 | 00:01:00 (Count: 9)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |      857 |       0.11 |      -5.98 |      33.57 |       3.89 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |     1074 |       0.67 |        0.0 |        1.0 |       0.47 |        - | -                                       
issue_msg_type_illuminating    |     1074 |       0.48 |        0.0 |        1.0 |        0.5 |        - | -                                       
attack_msg_type_illuminating   |     1074 |       0.18 |        0.0 |        1.0 |       0.38 |        - | -                                       
image_msg_type_illuminating    |     1074 |       0.14 |        0.0 |        1.0 |       0.35 |        - | -                                       
cta_msg_type_illuminating      |     1074 |       0.11 |        0.0 |        1.0 |       0.31 |        - | -                                       
engagement_cta_subtype_illuminating |     1074 |       0.05 |        0.0 |        1.0 |       0.22 |        - | -                                       
fundraising_cta_subtype_illuminating |     1074 |        0.0 |        0.0 |        1.0 |       0.06 |        - | -                                       
voting_cta_subtype_illuminating |     1074 |       0.08 |        0.0 |        1.0 |       0.27 |        - | -                                       
covid_topic_illuminating       |     1074 |       0.05 |        0.0 |        1.0 |       0.21 |        - | -                                       
economy_topic_illuminating     |     1074 |       0.08 |        0.0 |        1.0 |       0.27 |        - | -                                       
education_topic_illuminating   |     1074 |       0.02 |        0.0 |        1.0 |       0.15 |        - | -                                       
environment_topic_illuminating |     1074 |       0.05 |        0.0 |        1.0 |       0.22 |        - | -                                       
foreign_policy_topic_illuminating |     1074 |       0.03 |        0.0 |        1.0 |       0.18 |        - | -                                       
governance_topic_illuminating  |     1074 |       0.06 |        0.0 |        1.0 |       0.23 |        - | -                                       
health_topic_illuminating      |     1074 |       0.03 |        0.0 |        1.0 |       0.17 |        - | -                                       
immigration_topic_illuminating |     1074 |       0.09 |        0.0 |        1.0 |       0.28 |        - | -                                       
lgbtq_issues_topic_illuminating |     1074 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
military_topic_illuminating    |     1074 |       0.03 |        0.0 |        1.0 |       0.17 |        - | -                                       
race_and_ethnicity_topic_illuminating |     1074 |       0.04 |        0.0 |        1.0 |        0.2 |        - | -                                       
safety_topic_illuminating      |     1074 |       0.03 |        0.0 |        1.0 |       0.18 |        - | -                                       
social_and_cultural_topic_illuminating |     1074 |       0.04 |        0.0 |        1.0 |       0.19 |        - | -                                       
technology_and_privacy_topic_illuminatin... |     1074 |        0.0 |        0.0 |        1.0 |       0.03 |        - | -                                       
womens_issue_topic_illuminating |     1074 |        0.0 |        0.0 |        1.0 |       0.07 |        - | -                                       
incivility_illuminating        |     1074 |       0.16 |        0.0 |        1.0 |       0.36 |        - | -                                       
scam_illuminating              |     1074 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       
freefair_illuminating          |     1074 |        0.0 |        0.0 |        1.0 |       0.05 |        - | -                                       
fraud_illuminating             |     1074 |       0.01 |        0.0 |        1.0 |       0.11 |        - | -                                       

===== Group: ('NA', '459abece909c3b58ecbea0ad3bf398ae90216c170fff442979f2ac3f72f4c190') (Count: 22) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |       22 |          - |          - |          - |          - |        1 | 459abece909c3b58ecbea0ad3bf398ae90216c17...
post_id                        |       22 |          - |          - |          - |          - |       22 | 93a722517bcdf1bcff607edbab481bc45af73373...
Page Category                  |       22 |          - |          - |          - |          - |        1 | POLITICIAN (Count: 22)                  
Page Admin Top Country         |       22 |          - |          - |          - |          - |        1 | US (Count: 22)                          
Post Created                   |       22 |          - |          - |          - |          - |       22 | 2023-09-21 16:03:59 EDT (Count: 1)      
Post Created Date              |       22 |          - |          - |          - |          - |       17 | 2023-09-11 (Count: 3)                   
Post Created Time              |       22 |          - |          - |          - |          - |       22 | 16:03:59 (Count: 1)                     
Type                           |       22 |          - |          - |          - |          - |        3 | Photo (Count: 18)                       
Total Interactions             |       22 |      88.32 |       24.0 |      412.0 |      77.52 |        - | -                                       
Likes                          |       22 |      43.91 |       11.0 |      103.0 |      23.18 |        - | -                                       
Comments                       |       22 |      24.64 |        1.0 |      194.0 |      39.89 |        - | -                                       
Shares                         |       22 |        5.5 |        1.0 |       14.0 |       3.19 |        - | -                                       
Love                           |       22 |       3.95 |        0.0 |       10.0 |       3.12 |        - | -                                       
Wow                            |       22 |       0.09 |        0.0 |        1.0 |       0.29 |        - | -                                       
Haha                           |       22 |       4.55 |        1.0 |       23.0 |       4.76 |        - | -                                       
Sad                            |       22 |       1.91 |        0.0 |       33.0 |       7.15 |        - | -                                       
Angry                          |       22 |        0.5 |        0.0 |        3.0 |       0.86 |        - | -                                       
Care                           |       22 |       3.27 |        0.0 |       32.0 |       8.46 |        - | -                                       
Video Share Status             |        2 |          - |          - |          - |          - |        1 | owned (Count: 2)                        
Is Video Owner?                |       22 |          - |          - |          - |          - |        2 | - (Count: 20)                           
Post Views                     |       22 |      43.64 |        0.0 |      532.0 |     142.15 |        - | -                                       
Total Views                    |       22 |      53.68 |        0.0 |      613.0 |     173.89 |        - | -                                       
Total Views For All Crossposts |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
Video Length                   |        2 |          - |          - |          - |          - |        2 | 00:00:30 (Count: 1)                     
Sponsor Id                     |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Name                   |        0 |          - |          - |          - |          - |        - | -                                       
Sponsor Category               |        0 |          - |          - |          - |          - |        - | -                                       
Overperforming Score           |       22 |      -1.38 |      -5.46 |       3.15 |        2.1 |        - | -                                       
illuminating_scored_messageelection_inte... |        0 |          - |          - |          - |          - |        - | -                                       
advocacy_msg_type_illuminating |       22 |        0.5 |        0.0 |        1.0 |       0.51 |        - | -                                       
issue_msg_type_illuminating    |       22 |       0.27 |        0.0 |        1.0 |       0.46 |        - | -                                       
attack_msg_type_illuminating   |       22 |       0.05 |        0.0 |        1.0 |       0.21 |        - | -                                       
image_msg_type_illuminating    |       22 |       0.14 |        0.0 |        1.0 |       0.35 |        - | -                                       
cta_msg_type_illuminating      |       22 |       0.59 |        0.0 |        1.0 |        0.5 |        - | -                                       
engagement_cta_subtype_illuminating |       22 |       0.14 |        0.0 |        1.0 |       0.35 |        - | -                                       
fundraising_cta_subtype_illuminating |       22 |       0.23 |        0.0 |        1.0 |       0.43 |        - | -                                       
voting_cta_subtype_illuminating |       22 |       0.05 |        0.0 |        1.0 |       0.21 |        - | -                                       
covid_topic_illuminating       |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
economy_topic_illuminating     |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
education_topic_illuminating   |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
environment_topic_illuminating |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
foreign_policy_topic_illuminating |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
governance_topic_illuminating  |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
health_topic_illuminating      |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
immigration_topic_illuminating |       22 |       0.14 |        0.0 |        1.0 |       0.35 |        - | -                                       
lgbtq_issues_topic_illuminating |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
military_topic_illuminating    |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
race_and_ethnicity_topic_illuminating |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
safety_topic_illuminating      |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
social_and_cultural_topic_illuminating |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
technology_and_privacy_topic_illuminatin... |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
womens_issue_topic_illuminating |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
incivility_illuminating        |       22 |       0.05 |        0.0 |        1.0 |       0.21 |        - | -                                       
scam_illuminating              |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
freefair_illuminating          |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       
fraud_illuminating             |       22 |        0.0 |        0.0 |        0.0 |        0.0 |        - | -                                       

===== Group: ('NA', 'fc098d51a4f57bc4bd48a4e1c0615ce3694f896160aca668c525b5b29e41b7d1') (Count: 460) =====
Column                         | Count    | Mean       | Min        | Max        | Std        | Unique   | Most Frequent                           
---------------------------------------------------------------------------------------------------------------------------------------------------
Facebook_Id                    |      460 |          - |          - |          - |          - |        1 | fc098d51a4f57bc4bd48a4e1c0615ce3694f8961...
post_id                        |      460 |          - |          - |          - |          - |      460 | 17c1c3afefb9380fcc9db13b5d26c594e5e680dd...
Page Category                  |      375 |          - |          - |          - |          - |        1 | PERSON (Count: 375)                     
Page Admin Top Country         |      375 |          - |          - |          - |          - |        1 | US (Count: 375)                         
Post Created                   |      460 |          - |          - |          - |          - |      452 | 2024-09-30T18:10:22.000Z (Count: 2)     
Post Created Date              |      460 |          - |          - |          - |          - |      271 | 2024-04-16 (Count: 7)                   
Post Created Time              |      460 |          - |          - |          - |          - |      446 | 16:05:19 (Count: 3)                     
Type                           |      375 |          - |          - |          - |          - |        7 | Photo (Count: 137)                      
Total Interactions             |      460 |     319.77 |       32.0 |     1297.0 |     220.68 |       28 | 1,881 (Count: 1)                        
Likes                          |      460 |     234.03 |       17.0 |     9670.0 |     646.42 |        - | -                                       
Comments                       |      460 |      75.75 |        1.0 |     1909.0 |     142.67 |        - | -                                       
Shares                         |      460 |      85.83 |        0.0 |     4398.0 |     250.86 |        - | -                                       
Love                           |      460 |      60.64 |        0.0 |     1659.0 |     134.23 |        - | -                                       
Wow                            |      460 |       0.64 |        0.0 |       24.0 |       2.04 |        - | -                                       
Haha                           |      460 |       3.48 |        0.0 |      178.0 |       12.4 |        - | -                                       
